leadI_mV,leadII_mV,leadIII_mV
-5.9899,-1.8364,4.1535
-6.0076,-1.8701,4.1375
-5.9992,-1.9148,4.0845
-5.9425,-1.9467,3.9958
-5.5559,-1.8103,3.7456
-2.9958,-0.7891,2.2067
-2.3303,-0.1053,2.2250
-5.1257,-1.0969,4.0288
-5.8587,-1.7638,4.0949
-5.9181,-1.7581,4.1600
-5.9623,-1.7577,4.2046
-5.9842,-1.7588,4.2255
-6.0012,-1.7982,4.2030
-5.9786,-1.8403,4.1383
-5.9562,-1.8825,4.0736
-5.1465,-1.5345,3.6120
-3.3520,-0.0874,3.2645
-4.8974,-0.4079,4.4895
-5.8501,-1.7247,4.1254
-5.9027,-1.8283,4.0744
-5.9929,-1.8163,4.1766
-6.0160,-1.8322,4.1837
-6.0002,-1.8611,4.1392
-5.9726,-1.9135,4.0591
-5.9678,-1.9436,4.0242
-6.0062,-1.9594,4.0468
-5.6538,-1.0244,4.6294
-5.2994,-0.1811,5.1183
-5.7900,-1.5267,4.2633
-5.9087,-1.8332,4.0755
-5.9230,-1.7558,4.1672
-5.9688,-1.7413,4.2275
-5.9733,-1.7342,4.2391
-5.9757,-1.7541,4.2216
-5.9676,-1.7938,4.1739
-5.9906,-1.8429,4.1476
-5.9532,-1.7331,4.2200
-5.4454,-0.4943,4.9511
-5.5202,-0.7233,4.7969
-5.9225,-1.7796,4.1429
-5.9751,-1.8029,4.1722
-6.0501,-1.7601,4.2900
-6.0806,-1.7879,4.2927
-6.0635,-1.8343,4.2292
-6.0042,-1.8747,4.1295
-5.9401,-1.8889,4.0512
-5.9395,-1.9457,3.9938
-5.8447,-2.0179,3.8268
-5.5899,-2.0159,3.5740
-5.7182,-1.9446,3.7736
-5.7999,-1.8526,3.9473
-5.8467,-1.7878,4.0589
-5.9446,-1.7884,4.1562
-6.0018,-1.8209,4.1809
-6.0473,-1.8599,4.1874
-6.0602,-1.9151,4.1451
-6.0659,-1.9606,4.1053
-6.0974,-2.0294,4.0680
-6.0619,-2.0693,3.9927
-6.0040,-2.0331,3.9709
-6.0043,-1.9715,4.0327
-5.9590,-1.8908,4.0682
-6.0146,-1.8570,4.1576
-6.1054,-1.8706,4.2348
-6.1344,-1.8941,4.2403
-6.1361,-1.9351,4.2010
-6.1008,-1.9818,4.1190
-6.0927,-2.0418,4.0508
-6.0538,-2.0817,3.9721
-5.7184,-1.7789,3.9395
-5.7867,-1.8506,3.9361
-5.9964,-2.0441,3.9523
-5.9842,-1.9782,4.0060
-6.0505,-1.9448,4.1057
-6.0916,-1.9618,4.1298
-6.1111,-2.0013,4.1098
-6.1344,-2.0695,4.0649
-6.1368,-2.1161,4.0208
-6.1574,-2.1848,3.9727
-5.9728,-1.9321,4.0407
-5.5223,-1.1001,4.4221
-5.8194,-1.6591,4.1603
-5.9766,-1.9669,4.0096
-6.0097,-1.8820,4.1277
-6.1006,-1.8710,4.2296
-6.1232,-1.8984,4.2248
-6.1277,-1.9503,4.1774
-6.1109,-2.0186,4.0923
-6.0984,-2.0819,4.0165
-6.0905,-2.1335,3.9570
-5.7251,-1.4492,4.2758
-5.4687,-0.8594,4.6093
-5.9034,-1.8770,4.0263
-6.0077,-2.0552,3.9525
-6.0878,-1.9741,4.1137
-6.1501,-1.9413,4.2088
-6.1939,-1.9452,4.2487
-6.2078,-1.9740,4.2338
-6.1736,-2.0293,4.1443
-6.1631,-2.0878,4.0753
-6.0939,-1.9293,4.1645
-5.5220,-0.4538,5.0682
-5.5449,-0.5948,4.9500
-5.9536,-1.9241,4.0295
-5.9475,-2.0097,3.9378
-6.0253,-1.9879,4.0374
-6.1260,-2.0077,4.1182
-6.2446,-2.0377,4.2069
-6.3025,-2.0922,4.2103
-6.2661,-2.1286,4.1375
-6.2098,-2.1667,4.0431
-5.1253,-1.6668,3.4584
-3.4334,-0.0359,3.3975
-5.2038,-0.6048,4.5990
-6.0181,-1.9753,4.0428
-6.0459,-2.0504,3.9955
-6.1098,-2.0102,4.0996
-6.1235,-1.9887,4.1348
-6.1457,-2.0032,4.1425
-6.1768,-2.0820,4.0948
-6.1671,-2.1363,4.0308
-5.9308,-2.0800,3.8508
-3.7101,-1.1726,2.5375
-2.1455,-0.1587,1.9869
-4.7692,-1.0726,3.6966
-5.7681,-1.8729,3.8953
-5.8161,-1.7927,4.0233
-5.8482,-1.6606,4.1876
-5.8800,-1.5324,4.3476
-5.9130,-1.4066,4.5064
-5.9126,-1.3620,4.5506
-5.9211,-1.4149,4.5061
-5.4993,-1.3114,4.1879
-3.1347,-0.2773,2.8574
-3.6101,0.5541,4.1641
-5.7072,-0.7430,4.9641
-5.9140,-1.2939,4.6201
-6.0459,-1.3222,4.7237
