id,uptimeMs,bpm,rrMed,rrDp,picos,flags
1,55135,0,0,0,1,0x00
2,86357,0,0,0,0,0x00
3,118740,0,0,0,0,0x00
4,151140,0,0,0,0,0x00
1,72193,0,0,0,1,0x00
2,103445,0,0,0,0,0x00
3,135861,0,0,0,0,0x00
1,86055,0,0,0,1,0x00
2,117343,0,0,0,0,0x00
3,149797,0,0,0,0,0x00
4,182280,0,0,0,0,0x00
1,36006,0,0,0,1,0x80
2,66530,0,0,0,0,0x80
3,97024,0,0,0,0,0x80
4,127564,0,0,0,0,0x80
5,158259,0,0,0,0,0x80
6,188935,0,0,0,0,0x80
7,219670,0,0,0,0,0x80
8,250470,0,0,0,0,0x80
9,281400,0,0,0,0,0x80
10,312247,0,0,0,0,0x80
11,343121,0,0,0,0,0x80
12,374018,0,0,0,0,0x80
13,404828,0,0,0,0,0x80
14,435727,0,0,0,0,0x80
15,466807,0,0,0,0,0x80
1,56019,0,0,0,1,0x80
2,87159,0,0,0,0,0x80
3,118275,0,0,0,0,0x80
1,60544,0,0,0,1,0x80
1,69984,0,0,0,1,0x80
2,101359,0,0,0,0,0x80
3,132594,0,0,0,0,0x80
4,163440,0,0,0,0,0x80
5,194290,0,0,0,0,0x80
6,225315,0,0,0,0,0x80
7,256388,0,0,0,0,0x80
8,287608,0,0,0,0,0x80
1,54072,0,0,0,1,0x80
1,37469,0,0,0,1,0x80
1,69982,0,0,0,1,0x80
2,101491,0,0,0,0,0x80
3,132863,0,0,0,0,0x80
4,163880,0,0,0,0,0x80
1,52910,0,0,0,1,0x80
2,84178,0,0,0,0,0x80
3,115522,0,0,0,0,0x80
4,146919,0,0,0,0,0x80
5,178459,0,0,0,0,0x80
6,209811,0,0,0,0,0x80
7,241111,0,0,0,0,0x80
8,272441,0,0,0,0,0x80
1,96325,0,0,0,1,0x80
2,127299,0,0,0,0,0x80
3,158271,0,0,0,0,0x80
4,189312,0,0,0,0,0x80
5,220463,0,0,0,0,0x80
6,251760,0,0,0,0,0x80
7,283051,0,0,0,0,0x80
8,314381,0,0,0,0,0x80
9,345806,0,0,0,0,0x80
10,377257,0,0,0,0,0x80
11,408367,0,0,0,0,0x80
12,439545,0,0,0,0,0x80
13,470785,0,0,0,0,0x80
14,501938,0,0,0,0,0x80
15,533145,0,0,0,0,0x80
16,564404,0,0,0,0,0x80
17,595764,0,0,0,0,0x80
18,627233,0,0,0,0,0x80
19,658906,0,0,0,0,0x80
20,690339,0,0,0,0,0x80
21,721570,0,0,0,0,0x80
22,752905,0,0,0,0,0x80
23,784468,0,0,0,0,0x80
24,816118,0,0,0,0,0x80
25,847941,0,0,0,0,0x80
26,885774,0,0,0,0,0x80
1,104006,0,0,0,1,0x80
2,136339,0,0,0,0,0x80
3,168413,0,0,0,0,0x80
4,199835,0,0,0,0,0x80
5,231315,0,0,0,0,0x80
6,262991,0,0,0,0,0x80
7,294738,0,0,0,0,0x80
8,326591,0,0,0,0,0x80
9,358721,0,0,0,0,0x80
10,390775,0,0,0,0,0x80
11,422625,0,0,0,0,0x80
12,454190,0,0,0,0,0x80
13,485823,0,0,0,0,0x80
14,517566,0,0,0,0,0x80
15,549522,0,0,0,0,0x80
16,581441,0,0,0,0,0x80
17,613498,0,0,0,0,0x80
18,645831,0,0,0,0,0x80
19,677767,0,0,0,0,0x80
20,709132,0,0,0,1,0x80
21,740602,0,0,0,0,0x80
22,772098,0,0,0,0,0x80
23,803786,0,0,0,0,0x80
